,county,year,evi_1,evi_15,evi_28,evi_32,evi_46,evi_59,evi_60,evi_74,evi_87,evi_91,evi_105,evi_118,evi_121,evi_135,evi_148,evi_152,evi_166,evi_179,evi_182,evi_196,evi_209,evi_213,evi_227,evi_240,evi_244,evi_258,evi_271,evi_274,evi_288,evi_301,evi_305,evi_319,evi_332,evi_335,evi_349,evi_362,long,lat,t2m_1,t2m_15,t2m_28,t2m_32,t2m_46,t2m_59,t2m_60,t2m_74,t2m_87,t2m_91,t2m_105,t2m_118,t2m_121,t2m_135,t2m_148,t2m_152,t2m_166,t2m_179,t2m_182,t2m_196,t2m_209,t2m_213,t2m_227,t2m_240,t2m_244,t2m_258,t2m_271,t2m_274,t2m_288,t2m_301,t2m_305,t2m_319,t2m_332,t2m_335,t2m_349,t2m_362,yield
0,ADAMS,2001,-0.03103643958102683,0.08036470437037305,0.11970423084968027,0.12318311210807996,0.11816149976731577,0.11150617593092979,0.11154566285582135,0.12621947913293668,0.1622369218642969,0.1759451790641681,0.22368671806870793,0.2961063343148858,0.3168605929682648,0.3486696723442462,0.3376802231038803,0.35509034099469294,0.4359319609037531,0.4843271588608547,0.4935656826170439,0.5332896053871954,0.5544747972218489,0.5518084831689807,0.5036556341815175,0.41904177349296173,0.39013962215560033,0.3061968143661239,0.2704802629749677,0.2623212735949191,0.2119964331640639,0.17398955369462724,0.16733580809934567,0.1608834691275909,0.15445145537957886,0.15165192229252136,0.13363460034962962,0.11514070845981121,-91.125,40.0,-11.598379516601511,2.5228057861328637,-3.5637420654296363,-0.3308471679687557,0.4529663085937159,-4.311407470703131,-2.4737915039062273,11.130334472656273,4.760964965820335,6.840020751953119,18.937585449218773,24.703515625000023,24.21698913574221,26.750833129882835,19.657922363281273,14.305383300781273,25.528726196289085,26.196435546875023,30.21875915527346,24.972695922851585,24.864617919921898,32.048745727539085,23.98517761230471,28.81665954589846,23.629235839843773,17.020425415039085,18.710183715820335,21.976419067382835,12.571817016601585,4.786676025390648,17.933999633789085,16.963372802734398,1.3211608886718977,5.310556030273489,4.619943237304682,-0.6381744384765966,6.0
1,ADAMS,2002,0.11709662153487292,0.1244874210593969,0.11987585827213393,0.1179554125471766,0.11463784687989144,0.12024793266909548,0.12120901337793333,0.14448941934843346,0.17152071875381297,0.18062055940717706,0.23250301004892748,0.2773776594731621,0.28314884958041164,0.3167702325074166,0.3564826411700665,0.36486529979454524,0.3971573866633781,0.45294112298829636,0.46969052013052376,0.5299493630229543,0.5350215334636732,0.5339965110182399,0.5172658304356934,0.461347036961636,0.43594015416996357,0.32882823122813665,0.2369557393043778,0.22309441966135987,0.19535904251156902,0.1766187486027702,0.1676938254554789,0.13279688862662462,0.12997373325574124,0.1308163924549305,0.11752037085980019,0.09797571647318334,-91.125,40.0,-6.688955688476511,1.8072753906250227,13.055520629882835,0.6237121582030909,8.41930541992187,-4.630392456054693,1.5172210693359887,19.718972778320335,9.76880798339846,8.280313110351614,24.71637878417971,15.662896728515648,17.293206787109398,19.480752563476585,23.515130615234398,30.761529541015648,20.614495849609398,28.109170532226585,30.98450622558596,26.54554138183596,33.7634216308594,31.115472412109398,25.393731689453148,26.735986328125023,26.890252685546898,22.887597656250023,19.674798583984398,26.53028259277346,10.29670104980471,6.528268432617239,2.6140075683594546,7.708612060546841,-2.6107849121093523,-3.7537750244140113,4.327478027343773,0.7229553222656477,-25.0
2,ADAMS,2003,0.12147845316074625,0.011356292412379069,0.07347254950995522,0.09252623956856441,0.09467409907128209,0.08561090470972726,0.08629437099768192,0.118002839590546,0.1600065347113317,0.17272845317499697,0.23459071800814485,0.29460182930719286,0.30450012585149633,0.33350512511352814,0.35557974151960614,0.36559119625587844,0.3986107732393874,0.45241652598175514,0.47579461900254016,0.5846843117230489,0.6036755756967229,0.5892391411632869,0.5051128432151281,0.4366747847371269,0.41652422237818604,0.33849753496972834,0.2602879841643827,0.24654791912827317,0.20841271211767184,0.18068088258019943,0.17353495526544618,0.15271099144742184,0.11326840701534556,0.1012172217211711,0.03938602913111844,-0.019764262790704278,-91.125,40.0,1.2689453124999943,-6.470022583007761,-2.5408843994140113,3.182077026367182,2.508737182617182,0.17295227050786366,-1.0311035156249773,9.54541931152346,17.562783813476585,16.98987731933596,27.184747314453148,21.802468872070335,25.067102050781273,22.70600280761721,26.140985107421898,18.31165466308596,26.774148559570335,27.620233154296898,27.404092407226585,29.236077880859398,30.165338134765648,29.587609863281273,28.996240234375023,29.939141845703148,17.662820434570335,19.53296813964846,13.081643676757835,7.492059326171898,14.772622680664085,8.803384399414085,10.31195983886721,5.959390258789114,5.708291625976614,10.440118408203148,-2.6276611328124773,12.201394653320335,-24.0
3,ADAMS,2004,0.12393013890654798,0.1476195830274449,0.012383596757270342,-0.00367178015308538,0.10691556260383221,0.15156190555391869,0.1506018049874309,0.16532621536072625,0.21474682104614246,0.22757230359816444,0.25022431127411415,0.28623886110414637,0.3014611190602321,0.3585053480581554,0.38229930897990616,0.3923959881075546,0.4675327960581299,0.5592182378556468,0.5717608837654283,0.597608594022528,0.5993423738521579,0.594592996701842,0.5279138837482109,0.397334433737637,0.3638629891629495,0.295860788838144,0.2633205966484061,0.2534242623328274,0.197504360081396,0.1744284923634153,0.16747332420798897,0.13256363986839464,0.1402474355902131,0.14410459735343314,0.13658577731830382,0.11896414079422188,-91.125,40.0,3.061013793945307,0.8145843505859887,-12.812429809570261,-11.258886718749977,-1.5111297607421932,7.569070434570335,14.349404907226585,8.71326599121096,20.90705261230471,8.324182128906244,18.822427368164085,16.471353149414085,15.863305664062523,13.442163085937523,22.194619750976585,21.139382934570335,26.794412231445335,20.743402099609398,28.257608032226585,27.014306640625023,25.87610778808596,29.972512817382835,22.033715820312523,27.363748168945335,25.481973266601585,27.098672485351585,20.004418945312523,18.386331176757835,7.380532836914114,14.832513427734398,15.471002197265648,7.477349853515648,4.195520019531273,0.9155364990234318,-5.194494628906227,0.06545410156252274,66.0
4,ADAMS,2005,0.03824904000747628,0.10880397654439665,0.12652056334864217,0.12707220472253497,0.12350007314253647,0.11862756653743343,0.11837625313437775,0.12007958627481706,0.14136519156410865,0.15398378171953808,0.2230084008243685,0.2861276865163662,0.29583135375920877,0.3286836957255806,0.3797549193158227,0.4053323326610043,0.48019594419161243,0.5130858435950343,0.52133835616246,0.534402087625818,0.4991904473949122,0.49254369565173417,0.46095363395117617,0.3758305235932762,0.3470546251274241,0.2716643588220398,0.2501060413084478,0.246615377996759,0.22619580848340035,0.21570839638228959,0.2097267901826934,0.15802496001543867,0.07705070144009027,0.06299284625546404,0.06088556592084666,0.08368391622437972,-91.125,40.0,7.038934326171955,-10.495001220703102,-2.219686889648443,-1.5139068603515682,10.02204284667971,6.661386108398489,-2.8807586669921363,3.5814758300782046,10.60425720214846,15.000329589843773,17.58143005371096,14.212014770507835,12.335305786132835,13.390054321289085,18.386331176757835,26.558389282226585,23.605706787109398,31.613671875000023,28.87812194824221,31.344903564453148,23.73157653808596,25.27314147949221,21.436257934570335,28.826943969726585,27.386331176757835,22.083047485351585,20.85126647949221,19.304162597656273,21.30396423339846,8.050363159179682,10.484887695312523,4.232400512695307,13.95984802246096,-0.5979064941406023,2.3731933593749943,7.395745849609398,0.0
5,ADAMS,2006,0.12479668284024778,0.13321981765151666,0.1282170920786584,0.12641470324896775,0.12445617378700996,0.12776079550918493,0.12837088134094563,0.14638330690882387,0.17444487902396918,0.18572119453022123,0.24819958063310213,0.3011564033686858,0.3079611743462909,0.342544978607162,0.3922701831279522,0.40823070720254806,0.4552721145749701,0.4984101018693148,0.5116995087953432,0.5458553228814362,0.5112417471659382,0.5004726221084194,0.46768990610737593,0.4210704804563665,0.4022285881324536,0.3213549259146475,0.24549192045517523,0.23462600657337532,0.20992184336599753,0.16465981122742426,0.15248433633612504,0.14313929183718843,0.15482519568037173,0.16429178869129826,0.26544758027577336,0.3811364881518647,-91.125,40.0,0.2932067871093409,1.2304016113281477,10.764688110351585,8.025460815429739,13.381753540039085,10.496392822265648,9.63111267089846,7.679727172851585,6.291665649414057,15.177346801757835,29.30176696777346,19.895623779296898,16.088723754882835,10.938027954101585,32.249368286132835,22.020349121093773,26.698541259765648,23.200036621093773,25.74012145996096,31.28266296386721,29.165307617187523,35.97005615234377,23.91181335449221,24.154763793945335,23.83344421386721,21.331628417968773,17.602639770507835,19.882714843750023,8.013940429687523,7.924966430664114,3.4067474365234887,8.060494995117239,15.33454284667971,-5.264562988281227,10.582131958007835,6.850396728515705,-33.0
6,ADAMS,2007,0.12254268179331487,0.01696903594242788,0.013139178869852665,0.02909217636573823,0.11416646788262745,0.12104916471083396,0.12035700747907535,0.17784045025383285,0.23008102211370413,0.22617359122117514,0.20519478412686057,0.2415347597945294,0.2605520933976332,0.36748644838702865,0.42314422603398766,0.42324231126266515,0.45662652783786994,0.522598481444464,0.5229415578720066,0.5082109540796083,0.520493763884973,0.5107507147645877,0.43734507814628887,0.3611356758245651,0.3316725375219087,0.23738359841685863,0.21977316646400186,0.22012025887352374,0.2132920962376084,0.18621563763710458,0.17752955045977548,0.16098430582421663,0.15890536268371325,0.15598326337423313,0.11208698920659575,0.05957018204894323,-91.125,40.0,7.099328613281273,0.3259368896484318,-4.608099365234352,-4.820150756835943,-8.744146728515602,0.7053161621094546,6.267221069335932,17.334344482421898,22.483666992187523,16.21412048339846,7.532189941406273,18.584085083007835,27.60437927246096,29.51520690917971,21.450112915039085,24.783563232421898,29.35846862792971,24.426751708984398,23.626458740234398,29.387963867187523,28.946817016601585,29.454827880859398,33.54937133789065,31.48456726074221,26.15363464355471,16.523904418945335,22.33429870605471,28.501016235351585,22.150354003906273,12.00385437011721,11.293923950195335,9.729760742187523,3.0112243652343977,-2.432669067382818,-2.4976562499999773,-3.236639404296909,-9.0
7,ADAMS,2008,0.12011558257324838,0.14058852515001627,0.12327694991467693,0.11670750566409888,0.10539983678596851,0.1152097953423389,0.11657743940738394,0.13798422369672006,0.1538412740471763,0.15872855426028418,0.19456427980523563,0.2525987940438253,0.26678989228147987,0.31512731387254145,0.33839746757337424,0.346229126694765,0.37123594793421183,0.4051814457363831,0.418545668747583,0.4770912743952337,0.49411324960839126,0.49587497719685675,0.4926099475205405,0.470676051176158,0.4599667539916628,0.3965180751254635,0.29931133583480557,0.27837084458600203,0.21249447960733875,0.19285562094336578,0.189078956011048,0.17002364431069747,0.15876281393327435,0.15619966641108401,0.13541521956956457,0.11255641970847975,-91.125,40.0,-4.341192626953045,-5.803457641601597,6.595452880859369,-5.168676757812506,5.670251464843773,-2.8245147705077613,4.880090332031273,12.428430175781273,3.0061584472656477,16.593057250976585,10.648065185546898,10.823236083984398,22.731668090820335,18.52601013183596,11.978494262695335,27.089440917968773,27.41999206542971,28.490411376953148,26.142114257812523,29.792276000976585,28.349343872070335,28.572473144531273,23.324502563476585,25.770532226562523,27.945520019531273,16.372247314453148,26.31543884277346,14.61585388183596,14.377969360351585,5.038674926757864,15.11786804199221,8.950219726562523,5.682687377929739,0.7048736572266137,6.380639648437523,-0.4868072509765682,-1.0
8,ADAMS,2009,0.12124745639524614,0.1473109857432363,0.13113690227745486,0.12720008968616905,0.13259966119530833,0.13402851857310633,0.1337843187024531,0.13784003143490453,0.17790264475148557,0.19848779703887315,0.27394819541745974,0.3085300511529623,0.3093263721447546,0.30977779341180417,0.33509623201394595,0.34867351677244535,0.39351849847873327,0.44307267983882337,0.46153507921911435,0.5279164189118059,0.5205425635153987,0.5179707537666937,0.526902456623607,0.5416243915360134,0.5395865213939008,0.48940339172976477,0.38481984413517006,0.3571796657379881,0.23820576730691648,0.17045568526121568,0.1570768009376987,0.13654839411474723,0.16043324835007486,0.1580627812437682,0.040758194106315884,-0.1095648837678545,-91.125,40.0,-5.057333374023386,-14.859793090820318,-8.497976684570261,10.651422119140648,-2.3422912597656023,-2.4715637207031023,-1.4754089355467954,8.382318115234398,5.081033325195364,6.998376464843773,10.964257812500023,16.284280395507835,21.108377075195335,20.783532714843773,19.598062133789085,24.917596435546898,24.389489746093773,31.928628540039085,22.485131835937523,24.604287719726585,28.572549438476585,25.14393005371096,27.73066101074221,24.84839782714846,19.31983337402346,22.418801879882835,25.88251647949221,16.05121765136721,7.065179443359341,9.37751159667971,6.105538940429682,11.964257812500023,7.555795288085932,5.238656616210932,-3.8915466308592954,-6.339880371093727,50.099999999999994
9,ADAMS,2010,-0.03177486948890413,0.08195768573383816,0.12662711592657536,0.11663417431933064,0.014439295676888878,0.02692150304211168,0.032679042752386735,0.10115044290917229,0.15958228602095864,0.18124579448377057,0.23836509233084993,0.26978706312456974,0.2770347821927803,0.3116139335719483,0.34682248039273444,0.3589843987107821,0.40617056776933746,0.43887740944242404,0.4415829647351377,0.4552312269610721,0.4708895264159169,0.4627573838991505,0.3950164111318942,0.32660482191191453,0.3098442643740587,0.26839362891566976,0.23834894642536836,0.22943613263530344,0.17940345525067047,0.14746181973405292,0.14195660643209979,0.13328308529636662,0.12609371865848776,0.1237316244311447,0.10952802039767823,0.09518172022079727,-91.125,40.0,-8.582556152343727,5.661523437500023,-2.0429138183592954,-2.0712799072265966,-5.262991333007818,-1.6166900634765682,-0.10106506347651134,9.60480651855471,10.115625000000023,25.012750244140648,26.028588867187523,15.38038024902346,18.376519775390648,17.81525573730471,26.800332641601585,25.649453735351585,29.105950927734398,27.389001464843773,25.654260253906273,33.12421569824221,30.174188232421898,28.145364379882835,31.24530944824221,26.888757324218773,29.550454711914085,27.319314575195335,16.793634033203148,20.06513366699221,18.366433715820335,14.862847900390648,10.318414306640648,8.85181579589846,2.205499267578091,-2.585928344726568,-6.111151123046852,-7.700765991210915,-13.900000000000006
